index,type,name,resident,streamed,parentStack
1,string,,19403,0,||assetlist
2,xmodelmesh,p7_fxp_debris_wood_splinter_small_lod0fed783a2,1072,0,|p7_fxp_debris_wood_splinter_01|xmodel|impacts/fx_bul_impact_wood_lg|fx|surface_exit_bullet_small|surfacefxtable|bullet_small_exit|impactsfxtable|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
3,xmodelmesh,p7_fxp_debris_wood_splinter_med_lod085e6d53b,1520,0,|p7_fxp_debris_wood_splinter_02|xmodel|impacts/fx_bul_impact_wood_lg|fx|surface_exit_bullet_small|surfacefxtable|bullet_small_exit|impactsfxtable|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
4,xmodelmesh,p7_fxp_debris_wood_splinter_large_lod0147a6d2a,1520,0,|p7_fxp_debris_wood_splinter_03|xmodel|impacts/fx_bul_impact_wood_uw_lg|fx|impacts/fx_bul_impact_wood_lg|fx|surface_exit_bullet_small|surfacefxtable|bullet_small_exit|impactsfxtable|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
5,xmodelmesh,p7_fxp_debris_rock_01_lod0f70fa7ef,1072,0,|p7_fxp_debris_rock_01|xmodel|impacts/fx_bul_impact_gravel_lg|fx|surface_exit_bullet_small|surfacefxtable|bullet_small_exit|impactsfxtable|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
6,xmodelmesh,p7_fxp_debris_rock_02_lod01cba0634,1120,0,|p7_fxp_debris_rock_02|xmodel|impacts/fx_bul_impact_gravel_lg|fx|surface_exit_bullet_small|surfacefxtable|bullet_small_exit|impactsfxtable|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
7,xmodelmesh,p7_fxp_debris_rock_03_lod0db8eabe4,944,0,|p7_fxp_debris_rock_03|xmodel|impacts/fx_bul_impact_gravel_lg|fx|surface_exit_bullet_small|surfacefxtable|bullet_small_exit|impactsfxtable|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
8,xmodelmesh,p7_fxp_debris_car_glass_shatter_01_lod07241c8ff,1312,0,|p7_fxp_debris_car_glass_shatter_01|xmodel|impacts/fx_bul_impact_glass_uw_lg|fx|impacts/fx_bul_impact_glass_lg|fx|surface_exit_bullet_small|surfacefxtable|bullet_small_exit|impactsfxtable|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
9,xmodelmesh,p7_fxp_debris_car_glass_shatter_02_lod0f958f713,1264,0,|p7_fxp_debris_car_glass_shatter_02|xmodel|impacts/fx_bul_impact_glass_uw_lg|fx|impacts/fx_bul_impact_glass_lg|fx|surface_exit_bullet_small|surfacefxtable|bullet_small_exit|impactsfxtable|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
10,xmodelmesh,p7_fxp_debris_car_glass_shatter_03_lod020880f6e,1024,0,|p7_fxp_debris_car_glass_shatter_03|xmodel|impacts/fx_bul_impact_glass_uw_lg|fx|impacts/fx_bul_impact_glass_lg|fx|surface_exit_bullet_small|surfacefxtable|bullet_small_exit|impactsfxtable|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
11,xmodelmesh,attach_t7_smg_ap9_barrel_02_lod46a750f,1248,0,|attach_t7_smg_ap9_barrel_02_world|xmodel|acv_extbarrel_smg_standard|attachmentcosmeticvariant|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
12,xmodelmesh,attach_t7_smg_ap9_ext_mag_02_lod4655a198c,2336,0,|attach_t7_smg_ap9_ext_mag_02_world|xmodel|acv_extclip_smg_standard|attachmentcosmeticvariant|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
13,xmodelmesh,wpn_t7_smg_ap9_mag_lod1f5911fca,1376,0,|wpn_t7_smg_ap9_mag_world|xmodel|acv_fastreload_smg_standard|attachmentcosmeticvariant|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
14,xmodelmesh,attach_t7_smg_ap9_fast_mag_02_lod4dc99d877,1408,0,|attach_t7_smg_ap9_fast_mag_02_world|xmodel|acv_fastreload_smg_standard|attachmentcosmeticvariant|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
15,xmodelmesh,attach_t7_smg_ap9_handguard_02_lod2c01a5250,1568,0,|attach_t7_smg_ap9_handguard_02_world|xmodel|acv_fmj_smg_standard|attachmentcosmeticvariant|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
16,xmodelmesh,attach_t7_smg_ap9_foregrip_02_lod4ecabe8fc,1440,0,|attach_t7_smg_ap9_foregrip_02_world|xmodel|acv_grip_smg_standard|attachmentcosmeticvariant|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
17,xmodelmesh,attach_t7_smg_ap9_grip_02_lod4202cb31e,2224,0,|attach_t7_smg_ap9_grip_02_world|xmodel|acv_quickdraw_smg_standard|attachmentcosmeticvariant|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
18,xmodelmesh,attach_t7_smg_ap9_bolt_02_lod470ab7109,1232,0,|attach_t7_smg_ap9_bolt_02_world|xmodel|acv_rf_smg_standard|attachmentcosmeticvariant|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
19,xmodelmesh,attach_t7_smg_ap9_stock_02_lod335c41548,2032,0,|attach_t7_smg_ap9_stock_02_world|xmodel|acv_stalker_smg_standard|attachmentcosmeticvariant|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
20,xmodelmesh,attach_t7_smg_ap9_dbal_02_lod44c560081,2608,0,|attach_t7_smg_ap9_dbal_02_world|xmodel|acv_steadyaim_smg_standard|attachmentcosmeticvariant|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
21,xmodelmesh,attach_t7_smg_ap9_silencer_02_lod375ff00bf,1872,0,|attach_t7_smg_ap9_silencer_02_world|xmodel|acv_suppressed_smg_standard|attachmentcosmeticvariant|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
22,xmodelmesh,attach_t7_smg_ap9_barrel_02_lod463692e7b,1504,0,|attach_t7_smg_ap9_barrel_02_world|xmodel|acv_extbarrel_smg_standard|attachmentcosmeticvariant|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
23,xmodelmesh,attach_t7_smg_ap9_ext_mag_02_lod4acedfa7e,240,4320,|attach_t7_smg_ap9_ext_mag_02_world|xmodel|acv_extclip_smg_standard|attachmentcosmeticvariant|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
24,xmodelmesh,attach_t7_smg_ap9_handguard_02_lod29f93373c,2848,0,|attach_t7_smg_ap9_handguard_02_world|xmodel|acv_fmj_smg_standard|attachmentcosmeticvariant|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
25,xmodelmesh,attach_t7_smg_ap9_foregrip_02_lod4b5015064,2064,0,|attach_t7_smg_ap9_foregrip_02_world|xmodel|acv_grip_smg_standard|attachmentcosmeticvariant|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
26,xmodelmesh,attach_t7_smg_ap9_grip_02_lod4ebd7233e,240,4256,|attach_t7_smg_ap9_grip_02_world|xmodel|acv_quickdraw_smg_standard|attachmentcosmeticvariant|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
27,xmodelmesh,attach_t7_smg_ap9_stock_02_lod3b457b856,3232,0,|attach_t7_smg_ap9_stock_02_world|xmodel|acv_stalker_smg_standard|attachmentcosmeticvariant|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
28,xmodelmesh,attach_t7_smg_ap9_dbal_02_lod41db12a51,240,4256,|attach_t7_smg_ap9_dbal_02_world|xmodel|acv_steadyaim_smg_standard|attachmentcosmeticvariant|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
29,xmodelmesh,attach_t7_smg_ap9_silencer_02_lod3ab13e82a,3424,0,|attach_t7_smg_ap9_silencer_02_world|xmodel|acv_suppressed_smg_standard|attachmentcosmeticvariant|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
30,xmodelmesh,p7_debris_rockychunks_small_01_lod0d4a5654d,1280,0,|p7_debris_rockychunks_small_01|xmodel|impacts/fx_bul_impact_dirt_lg|fx|surface_exit_bullet_small|surfacefxtable|bullet_small_exit|impactsfxtable|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
31,xmodelmesh,attach_t7_smg_ap9_barrel_02_lod43bf6ba2d,2704,0,|attach_t7_smg_ap9_barrel_02_world|xmodel|acv_extbarrel_smg_standard|attachmentcosmeticvariant|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
32,xmodelmesh,attach_t7_smg_ap9_ext_mag_02_lod4fff2a5e5,240,7104,|attach_t7_smg_ap9_ext_mag_02_world|xmodel|acv_extclip_smg_standard|attachmentcosmeticvariant|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
33,xmodelmesh,wpn_t7_smg_ap9_mag_lod1ee1e459b,1600,0,|wpn_t7_smg_ap9_mag_world|xmodel|acv_fastreload_smg_standard|attachmentcosmeticvariant|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
34,xmodelmesh,attach_t7_smg_ap9_handguard_02_lod2db1e2eca,240,4720,|attach_t7_smg_ap9_handguard_02_world|xmodel|acv_fmj_smg_standard|attachmentcosmeticvariant|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
35,xmodelmesh,attach_t7_smg_ap9_foregrip_02_lod464b1ca2a,3728,0,|attach_t7_smg_ap9_foregrip_02_world|xmodel|acv_grip_smg_standard|attachmentcosmeticvariant|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
36,xmodelmesh,attach_t7_smg_ap9_grip_02_lod47f653a28,240,8176,|attach_t7_smg_ap9_grip_02_world|xmodel|acv_quickdraw_smg_standard|attachmentcosmeticvariant|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
37,xmodelmesh,attach_t7_smg_ap9_stock_02_lod3e9bf2e6a,240,5184,|attach_t7_smg_ap9_stock_02_world|xmodel|acv_stalker_smg_standard|attachmentcosmeticvariant|t6_xpr50_up|weapon|zone_source/zm_mod.zone|csv
